ALG,Distance,Case,Time
BFS,15,Base,3
BFS,15,Reverse,4
BFS,31,Base,3
BFS,31,Reverse,5
BFS,63,Base,3
BFS,63,Reverse,4
BFS,127,Base,5
BFS,127,Reverse,5
BFS,255,Base,4
BFS,255,Reverse,4
IDS,15,Base,23
IDS,15,Reverse,34
IDS,31,Base,46
IDS,31,Reverse,99
IDS,63,Base,87
IDS,63,Reverse,278
IDS,127,Base,212
IDS,127,Reverse,2520
IDS,255,Base,505
IDS,255,Reverse,2570
UCS,15,Base,5
UCS,15,Reverse,4
UCS,31,Base,5
UCS,31,Reverse,7
UCS,63,Base,10
UCS,63,Reverse,21
UCS,127,Base,27
UCS,127,Reverse,61
UCS,255,Base,59
UCS,255,Reverse,59
Greedy,15,Base,4
Greedy,15,Reverse,3
Greedy,31,Base,4
Greedy,31,Reverse,5
Greedy,63,Base,4
Greedy,63,Reverse,3
Greedy,127,Base,3
Greedy,127,Reverse,3
Greedy,255,Base,4
Greedy,255,Reverse,3
Astar,15,Base,5
Astar,15,Reverse,5
Astar,31,Base,4
Astar,31,Reverse,3
Astar,63,Base,8
Astar,63,Reverse,5
Astar,127,Base,13
Astar,127,Reverse,9
Astar,255,Base,57
Astar,255,Reverse,49
