ALG,Dx,Dy,Case,Time
BFS,17,16,Base,183
BFS,17,16,Reverse,182
BFS,35,31,Base,199
BFS,35,31,Reverse,188
BFS,102,63,Base,192
BFS,102,63,Reverse,176
BFS,132,127,Base,183
BFS,132,127,Reverse,187
BFS,208,255,Base,191
BFS,208,255,Reverse,188
IDS,17,16,Base,184
IDS,17,16,Reverse,191
IDS,35,31,Base,174
IDS,35,31,Reverse,171
IDS,102,63,Base,173
IDS,102,63,Reverse,169
IDS,132,127,Base,164
IDS,132,127,Reverse,173
IDS,208,255,Base,184
IDS,208,255,Reverse,168
UCS,17,16,Base,182
UCS,17,16,Reverse,181
UCS,35,31,Base,181
UCS,35,31,Reverse,164
UCS,102,63,Base,168
UCS,102,63,Reverse,172
UCS,132,127,Base,157
UCS,132,127,Reverse,176
UCS,208,255,Base,161
UCS,208,255,Reverse,171
Greedy,17,16,Base,171
Greedy,17,16,Reverse,182
Greedy,35,31,Base,171
Greedy,35,31,Reverse,189
Greedy,102,63,Base,154
Greedy,102,63,Reverse,183
Greedy,132,127,Base,170
Greedy,132,127,Reverse,175
Greedy,208,255,Base,184
Greedy,208,255,Reverse,173
Astar,17,16,Base,159
Astar,17,16,Reverse,167
Astar,35,31,Base,184
Astar,35,31,Reverse,188
Astar,102,63,Base,187
Astar,102,63,Reverse,190
Astar,132,127,Base,180
Astar,132,127,Reverse,179
Astar,208,255,Base,183
Astar,208,255,Reverse,175
